    r/R,         c/R  ,        theta
    0.15,        0.089,         46
    0.2,         0.088,         45
    0.25,        0.087,         40
    0.3,         0.086,         35
    0.35,        0.085,         30
    0.4,         0.084,         26
    0.45,        0.083,         22
    0.5,         0.082,         19
    0.55,        0.081,         17
    0.6,         0.08,          15      
    0.65,        0.078,         13
    0.7,         0.075,         12
    0.75,        0.068,         11.5
    0.8,         0.063,         11
    0.85,        0.058,         9.5
    0.9,         0.053,         8   
    0.95,        0.048,         7
    1  ,         0.045,         6